gene_name,SRR34947105,SRR34947106,SRR34947115,SRR34947116,SRR34947127,SRR34947128,SRR34947132,SRR34947133
TSPAN6,218,134,388,352,683,229,872,927
TNMD,0,1,843,709,1,0,16,13
DPM1,310,250,487,435,466,139,922,895
SCYL3,11,11,26,27,20,4,46,38
FIRRM,6,8,10,4,40,10,47,59
FGR,0,0,0,0,0,0,0,0
CFH,0,0,2,5,0,0,0,1
FUCA2,43,54,429,386,296,108,347,365
GCLC,10,5,19,21,22,1,43,64
NFYA,21,17,124,73,89,18,123,141
STPG1,6,6,31,24,34,4,34,29
NIPAL3,9,2,83,77,18,4,10,8
LAS1L,36,26,163,106,257,67,399,420
ENPP4,14,4,7,8,32,6,34,44
SEMA3F,0,0,1,1,0,0,2,0
CFTR,0,0,0,0,0,0,0,0
ANKIB1,21,18,149,119,65,24,87,114
CYP51A1,60,40,342,244,141,29,152,117
KRIT1,2,1,10,10,3,4,19,3
RAD52,4,5,25,27,30,3,55,69
BAD,189,152,384,438,398,97,597,519
LAP3,88,46,235,244,237,80,524,466
CD99,0,0,0,1,0,0,0,0
HS3ST1,11,12,26,18,16,5,12,8
AOC1,0,0,0,0,0,0,0,1
WNT16,0,0,33,27,0,0,2,2
HECW1,0,0,0,6,4,0,5,7
MAD1L1,0,0,1,0,0,0,0,0
LASP1,21,41,728,625,162,42,299,268
SNX11,29,13,75,79,92,22,160,129
TMEM176A,0,0,0,1,1,0,2,0
M6PR,68,49,256,210,189,44,289,241
KLHL13,24,12,9,5,181,29,151,124
CYP26B1,0,0,3,6,1,1,0,0
ICA1,11,7,3,1,58,18,80,72
DBNDD1,3,0,9,12,25,9,17,11
ALS2,29,16,99,76,150,25,101,93
CASP10,0,0,11,3,0,0,0,0
CFLAR,21,9,56,43,40,10,26,35
TFPI,4,4,199,148,19,2,42,35
NDUFAF7,28,18,39,31,46,9,85,66
RBM5,67,45,184,175,243,65,428,339
MTMR7,3,5,11,1,5,0,22,26
SLC7A2,0,0,79,77,11,0,47,36
ARF5,378,310,743,696,874,259,1200,1316
SARM1,3,1,7,4,7,0,17,16
POLDIP2,53,40,221,217,225,72,369,428
PLXND1,0,1,35,28,39,6,33,20
AK2,194,181,369,331,446,142,763,816
CD38,0,0,0,0,0,0,0,0
FKBP4,32,23,82,99,77,39,238,237
KDM1A,102,82,350,269,315,116,746,673
RBM6,80,41,215,186,259,89,603,495
CAMKK1,5,4,2,5,2,1,11,7
RECQL,79,42,274,206,196,52,226,230
VPS50,22,16,59,35,42,15,97,124
HSPB6,2,0,24,11,0,0,1,1
ARHGAP33,6,6,16,6,84,23,136,109
NDUFAB1,1000,827,1764,1756,2085,580,2983,3155
PDK4,0,0,0,0,0,0,1,0
SLC22A16,0,0,0,0,0,0,0,0
ZMYND10,8,2,2,2,2,1,6,4
ABCB5,0,0,7,9,1,0,0,3
ARX,0,0,0,0,0,0,0,0
SLC25A13,44,33,175,119,234,60,396,426
ST7,8,5,51,32,31,7,72,74
CDC27,39,39,126,111,117,51,212,189
SLC4A1,0,0,0,0,0,0,0,0
CALCR,0,3,0,0,23,5,3,2
HCCS,22,17,113,77,213,83,148,148
DVL2,37,31,109,127,147,20,216,279
PRSS22,0,0,0,0,0,0,0,0
UPF1,8,16,58,62,73,15,166,145
SKAP2,12,8,204,158,54,10,151,160
SLC25A5,479,332,1382,1200,2335,678,2756,2944
MCUB,71,42,51,45,47,14,95,114
HOXA11,0,0,0,0,0,0,0,0
POLR2J,227,287,516,478,879,167,934,931
DHX33,10,13,26,42,46,19,127,116
MEOX1,0,1,17,11,33,10,70,68
THSD7A,30,33,35,33,44,10,115,68
LIG3,38,27,100,78,157,30,262,242
RPAP3,152,98,399,376,557,123,709,640
ACSM3,0,0,19,8,1,1,2,1
REXO5,14,15,21,29,53,19,74,69
CIAPIN1,212,121,464,387,574,163,808,844
SPPL2B,5,6,17,25,40,7,53,73
ATOSB,17,7,71,49,56,10,49,50
COPZ2,1,0,201,223,0,0,20,6
PRKAR2B,10,2,1,1,29,10,43,29
MSL3,82,55,213,166,336,86,394,335
CREBBP,12,14,93,101,122,29,145,151
TSPOAP1,0,1,1,0,10,1,9,7
MPO,0,0,0,0,0,0,0,0
PON1,0,0,0,0,0,0,0,0
GCFC2,25,27,35,32,78,24,120,92
WDR54,70,55,93,104,299,79,379,467
CROT,17,19,55,41,67,13,67,65
ABCB4,0,1,7,4,11,0,0,6
KMT2E,73,41,167,157,426,123,440,469
RHBDD2,71,41,202,205,403,98,477,579
SOX8,0,2,0,0,3,0,13,16
IBTK,68,23,352,286,270,84,415,329
ZNF195,120,82,149,73,202,99,482,402
MYCBP2,26,12,100,112,97,30,135,143
FBXL3,10,3,32,24,21,14,21,23
ITGAL,0,0,0,0,0,0,0,0
PDK2,17,2,57,52,57,16,81,62
ITGA3,0,1,13,6,2,6,1,2
ZFX,8,6,72,52,103,27,136,141
LAMP2,110,74,785,562,381,92,367,306
ITGA2B,1,1,2,3,4,0,2,6
ASB4,0,0,0,1,0,0,1,0
GDE1,144,113,367,344,369,114,669,683
REX1BD,149,104,295,284,290,86,593,650
CRLF1,0,0,0,7,1,0,0,0
OSBPL7,2,3,37,17,20,3,19,19
TMEM98,71,58,434,411,302,80,530,567
YBX2,0,0,0,0,0,0,0,0
KRT33A,0,0,0,0,0,0,0,0
MAP3K14,4,2,30,24,22,4,28,24
ABCC8,3,0,0,1,10,0,21,18
CACNG3,0,0,0,0,1,0,0,0
TMEM132A,26,21,70,61,93,25,117,156
AP2B1,120,88,694,574,703,200,1042,931
TAC1,143,117,6,4,52,16,37,30
ZNF263,3,5,27,17,22,6,48,45
CX3CL1,9,1,4,13,20,5,40,32
SPATA20,13,13,185,156,30,9,47,63
CACNA1G,2,1,36,29,13,0,8,5
TNFRSF12A,358,249,2117,2005,716,180,854,674
DLX6,0,0,0,0,0,0,0,0
MAP3K9,8,2,24,12,22,3,36,43
RALA,312,248,875,727,833,216,1232,1193
BAIAP2L1,6,1,9,4,9,3,19,18
KDM7A,3,1,9,4,13,3,13,4
ETV1,10,8,24,14,34,7,61,75
AGK,29,18,66,50,102,21,154,149
ALDH3B1,4,5,121,100,17,5,15,22
TTC22,0,0,0,0,0,0,0,0
PHTF2,25,13,213,125,82,18,181,145
CCL26,0,0,4,1,0,0,0,0
FARP2,22,11,98,84,54,9,58,51
USH1C,0,0,1,2,0,0,1,0
GGCT,99,62,134,89,130,36,194,204
DBF4,141,74,85,92,335,112,665,723
TBXA2R,0,0,2,2,0,0,0,0
IFRD1,9,5,7,5,8,2,25,13
LGALS14,0,0,0,0,0,0,0,0
COX10,15,11,103,65,108,21,163,151
GTF2IRD1,4,2,49,24,28,8,59,62
PAF1,118,90,275,219,246,57,417,417
VPS41,110,89,559,312,344,117,538,492
ARHGAP44,0,0,0,0,8,1,22,21
ELAC2,114,64,275,223,368,80,557,607
SCIN,0,0,2,2,0,0,0,0
ARSD,5,9,80,74,45,6,12,16
PNPLA4,16,15,154,154,215,50,167,120
MYH13,0,0,0,1,0,0,0,0
ADIPOR2,59,34,291,285,228,50,410,344
CDKL3,9,10,22,15,17,11,50,42
UPP2,1,0,0,0,1,0,2,1
PRSS21,0,0,0,0,0,0,0,0
MARK4,9,1,23,16,41,12,44,46
PROM1,29,8,9,4,120,36,299,306
CCDC124,251,247,611,611,894,276,1234,1275
CEACAM21,0,0,2,6,0,0,0,0
PAFAH1B1,108,67,298,218,361,90,485,486
NOS2,0,0,0,1,1,0,0,2
DNAH9,0,0,5,1,0,0,0,1
BLTP2,51,36,261,205,258,54,420,432
SLC13A2,0,0,0,0,0,0,0,0
GAS7,3,0,54,30,10,0,11,12
TRAPPC6A,48,31,136,170,177,51,315,439
MATK,0,0,6,1,0,0,0,0
CEACAM7,0,0,0,0,0,0,0,0
CD79B,0,0,0,1,0,0,1,0
SCN4A,0,0,0,0,0,0,3,2
ST7L,41,25,52,51,96,32,179,158
TKTL1,15,15,10,18,250,77,252,341
PAX6,83,31,5,1,495,114,528,598
RPUSD1,14,3,36,35,49,7,69,63
RHBDF1,2,1,27,20,7,2,24,12
LUC7L,167,131,322,309,425,102,1012,945
CACNA2D2,0,0,9,14,3,1,6,6
BAIAP3,1,2,2,3,11,8,17,30
TSR3,15,17,85,106,66,18,141,117
PIGQ,2,11,24,41,60,5,31,28
CRAMP1,6,4,23,18,37,7,54,70
TEAD3,18,6,64,80,40,15,105,78
SELE,0,0,0,0,0,0,0,0
DNAJC11,33,17,149,96,200,40,236,242
FMO3,0,0,0,0,0,0,0,1
MYLIP,0,0,91,85,8,0,16,13
NOX1,0,0,0,0,0,0,1,0
E2F2,12,9,0,3,30,9,38,39
PSMB1,1438,1027,2477,2299,3403,993,5014,5184
SYN1,0,0,1,0,5,1,1,4
JARID2,16,10,67,38,125,30,178,172
CDKL5,10,6,23,14,54,8,19,12
CAMK1G,2,0,0,0,5,4,7,7
CDK11A,0,0,0,0,0,0,0,0
NADK,12,9,63,73,41,14,118,136
TFAP2B,120,68,0,4,311,116,173,144
TFAP2D,0,0,0,0,0,0,0,0
DLEC1,0,3,0,0,1,2,5,0
CYTH3,6,5,97,54,31,19,62,60
ADAM22,6,4,1,2,16,4,18,12
SYPL1,63,27,148,112,216,70,216,280
CYB561,19,10,95,108,34,12,80,102
SPAG9,155,118,452,380,641,170,1016,841
CELSR3,7,5,35,14,64,5,107,93
AASS,36,24,123,98,211,74,299,337
PLEKHG6,1,2,1,0,0,0,1,3
SS18L2,191,183,228,271,500,147,641,738
MPND,3,5,5,5,13,0,18,33
MGST1,323,230,205,190,784,214,1924,2036
CRY1,12,4,38,29,30,19,59,60
PGLYRP1,0,0,0,0,0,0,0,0
NFIX,0,0,140,118,0,0,3,1
ST3GAL1,15,4,75,87,35,8,30,36
MMP25,0,0,3,1,7,0,2,7
IL32,45,25,92,95,114,36,98,41
PKD1,1,2,57,71,50,8,68,73
MAPK8IP2,9,2,6,25,25,7,66,51
MED24,43,19,67,73,116,29,203,169
RHOBTB2,10,5,12,16,33,1,75,45
HEATR5B,6,3,41,32,34,13,55,50
